epoch,mistakes,updates,train_error
1,260,260,0.396
2,206,466,0.334
3,198,664,0.322
4,163,827,0.254
5,146,973,0.252
6,123,1096,0.204
7,106,1202,0.202
8,106,1308,0.222
9,100,1408,0.212
10,101,1509,0.126
11,82,1591,0.186
12,86,1677,0.11
13,71,1748,0.168
14,87,1835,0.168
15,67,1902,0.066
16,40,1942,0.076
17,41,1983,0.078
18,32,2015,0.05
19,50,2065,0.2
20,62,2127,0.106
21,43,2170,0.162
22,36,2206,0.03
23,33,2239,0.122
24,51,2290,0.024
25,27,2317,0.022
26,23,2340,0.098
27,29,2369,0.046
28,18,2387,0.012
29,21,2408,0.04
30,26,2434,0.078
31,14,2448,0.014
32,27,2475,0.052
33,17,2492,0.01
34,23,2515,0.056
35,15,2530,0.014
36,11,2541,0.016
37,13,2554,0.004
38,11,2565,0.016
39,7,2572,0.01
40,8,2580,0.068
41,13,2593,0.002
42,4,2597,0.004
43,1,2598,0.004
44,8,2606,0.006
45,16,2622,0.006
46,7,2629,0.032
47,9,2638,0.0
48,0,2638,0.0
